Davenport University (MI)	www.davenport.edu
Davidson College (NC)	www.davidson.edu
Davis College (NY)	www.davisny.edu
Davis & Elkins College (WV)	www.dewv.edu
Daytona State College (FL)	www.daytonastate.edu
Dean College (MA)	www.dean.edu
Defiance College (OH)	www.defiance.edu
Delaware State University (DE)	www.desu.edu
Delaware Valley College (PA)	www.delval.edu
Delta State University (MS)	www.deltastate.edu
Denison University (OH)	denison.edu
Denver Seminary (CO)	www.denverseminary.edu
DePaul University (IL)	www.depaul.edu
DePauw University (IN)	www.depauw.edu
Des Moines University–Osteopathic Medical Center (IA)	www.dmu.edu
DeSales University (PA)	www.desales.edu
DeVry University (IL)	www.devry.edu
DeVry University–Addison (IL)	www.devry.edu
DeVry University–Arlington (VA)	www.devry.edu
DeVry University–Chicago (IL)	www.chi.devry.edu
DeVry University–Georgia (GA)	www.atl.devry.edu
DeVry University–Irving (TX)	www.dal.devry.edu
DeVry University–Kansas City (MO)	www.kc.devry.edu
DeVry University–Long Beach (CA)	www.lb.devry.edu
DeVry University–Orlando (FL)	www.orl.devry.edu
DeVry University–Phoenix (AZ)	www.phx.devry.edu
DeVry University–Pomona (CA)	www.pom.devry.edu
Dickinson College (PA)	www.dickinson.edu
Dickinson State University (ND)	www.dickinsonstate.edu
Dillard University (LA)	www.dillard.edu
Divine Word College (IA)	www.dwci.edu
Dixie State University (UT)	dixie.edu
Doane College (NE)	www.doane.edu
Dominican College (NY)	www.dc.edu
Dominican House of Studies (DC)	www.dhs.edu
Dominican School of Philosophy & Theology (CA)	www.dspt.edu
Dominican University (IL)	www.dom.edu
Dominican University of California (CA)	www.dominican.edu
Donnelly College (KS)	www.donnelly.edu
Dordt College (IA)	www.dordt.edu
Dowling College (NY)	www.dowling.edu
Drake University (IA)	www.drake.edu
Drew University (NJ)	www.drew.edu
Drexel University (PA)	www.drexel.edu
Drury University (MO)	www.drury.edu
Duke University (NC)	duke.edu
Dunwoody College of Technology (MN)	www.dunwoody.edu
Duquesne University (PA)	www.duq.edu
D´Youville College (NY)	www.dyc.edu
Earlham College (IN)	www.earlham.edu
East Carolina University (NC)	www.ecu.edu
East Central University (OK)	www.ecok.edu
East Stroudsburg State University of Pennsylvania (PA)	www.esu.edu
East Tennessee State University (TN)	www.etsu.edu
East Texas Baptist University (TX)	www.etbu.edu
East-West University (IL)	en.wikipedia.org
Eastern Connecticut State University (CT)	www.easternct.edu
Eastern Florida State College (FL)	www.easternflorida.edu
Eastern Illinois University (IL)	www.eiu.edu
Eastern Kentucky University (KY)	www.eku.edu
Eastern Mennonite University (VA)	www.emu.edu
Eastern Michigan University (MI)	www.emich.edu
Eastern Nazarene College (MA)	www1.enc.edu
Eastern New Mexico University (NM)	www.enmu.edu
Eastern Oregon University (OR)	www.eou.edu
Eastern University (PA)	www.eastern.edu
Eastern Virginia Medical School (VA)	www.evms.edu
Eastern Washington University (WA)	www.ewu.edu
Eckerd College (FL)	www.eckerd.edu
ECPI University (VA)	www.ecpi.edu
Eden Theological Seminary (MO)	www.eden.edu
Edgewood College (WI)	www.edgewood.edu
Edinboro University of Pennsylvania (PA)	www.edinboro.edu
EDP College (PR)	www.edpuniversity.edu
Edward Waters College (FL)	www.ewc.edu
Elizabeth City State University (NC)	www.ecsu.edu
Elizabethtown College (PA)	www.etown.edu
Elmhurst College (IL)	public.elmhurst.edu
Elmira College (NY)	www.elmira.edu
Elms College (MA)	www.elms.edu
Elon University (NC)	www.elon.edu
Embry-Riddle Aeronautical University (AZ / FL)	www.erau.edu
Emerson College (MA)	www.emerson.edu
Emmanuel Christian Seminary (TN)	www.ecs.edu
Emmanuel College (GA)	www.ec.edu
Emmanuel College (MA)	www.emmanuel.edu
Emmaus Bible College (IA)	www.emmaus.edu
Emporia State University (KS)	www.emporia.edu
Emory & Henry College (VA)	www.ehc.edu
Emory University (GA)	www.emory.edu
Endicott College (MA)	www.endicott.edu
Erikson Institute (IL)	www.erikson.edu
Erskine College (SC)	www.erskine.edu
Escuela de Artes Plásticas de Puerto Rico (PR)	www.eap.edu
Eureka College (IL)	www.eureka.edu
Evangel University (MO)	www.evangel.edu
Evangelical Theological Seminary (PA)	www.evangelical.edu
Everglades University (FL)	www.evergladesuniversity.edu
Evergreen State College (WA)	www.evergreen.edu
Excelsior College (NY)	www.excelsior.edu
Fairfield University (CT)	www.fairfield.edu
Fairleigh Dickinson University (NJ)	www.fdu.edu
Fairmont State University (WV)	www.fairmontstate.edu
Faith Baptist Bible College & Theological Seminary (IA)	www.faith.edu
Fashion Institute of Design & Merchandising (CA)	fidm.edu
Faulkner University (AL)	www.faulkner.edu
Fayetteville State University (NC)	www.uncfsu.edu
Felician College (NJ)	www.felician.edu
Ferris State University (MI)	www.ferris.edu
Ferrum College (VA)	www.ferrum.edu
Fielding Graduate University (CA)	www.fielding.edu
Finlandia University (MI)	www.finlandia.edu
Fisher College (MA)	www.fisher.edu
Fisk University (TN)	www.fisk.edu
Fitchburg State University (MA)	www.fitchburgstate.edu
