Art Institute of Portland (OR)	new.artinstitutes.edu	107.23.116.85
Art Institute of Seattle (WA)	new.artinstitutes.edu	107.23.116.85
Asbury Theological Seminary (KY)	asburyseminary.edu	198.160.139.25
Asbury University (KY)	www.asbury.edu	173.190.91.130
Ashford University (IA)	www.ashford.edu	199.73.44.51
Ashland University (OH)	www.ashland.edu	107.20.233.155
Associated Mennonite Biblical Seminary (IN)	www.ambs.edu	162.159.245.183
Assumption College (MA)	www.assumption.edu	70.32.89.249
Athenaeum of Ohio (OH)	www.athenaeum.edu	74.115.42.167
Athens State University (AL)	www.athens.edu	207.157.72.12
Auburn University (AL)	www.auburn.edu	131.204.138.170
Auburn University at Montgomery (AL)	www.aum.edu	199.80.9.64
Augsburg College (MN)	www.augsburg.edu	141.224.64.97
Augustana College (IL)	www.augustana.edu	143.226.70.99
Augustana College (SD)	www.augie.edu	192.103.41.7
Aurora University (IL)	www.aurora.edu	12.218.147.36
Austin College (TX)	www.austincollege.edu	198.151.179.59
Austin Graduate School of Theology (TX)	austingrad.edu	67.210.126.110
Austin Peay State University (TN)	www.apsu.edu	198.146.56.2
Austin Presbyterian Theological Seminary (TX)	www.austinseminary.edu	162.222.97.191
Ave Maria University (FL)	www.avemaria.edu	174.136.95.71
Averett University (VA)	www.averett.edu	205.167.138.242
Avila University (MO)	www.avila.edu	198.209.196.35
Azusa Pacific University (CA)	www.apu.edu	199.184.237.186
Daemen College (NY)	www.daemen.edu	198.22.176.2
Dakota State University (SD)	www.dsu.edu	138.247.65.57
Dakota Wesleyan University (SD)	www.dwu.edu	50.28.73.164
Dallas Baptist University (TX)	www.dbu.edu	67.18.55.166
Dallas Christian College (TX)	www.dallas.edu	98.130.122.225
Dallas Theological Seminary (TX)	www.dts.edu	199.184.195.103
Dalton State College (GA)	www.daltonstate.edu	168.25.19.111
Daniel Webster College (NH)	www.dwc.edu	208.40.235.40
Dartmouth College (NH)	dartmouth.edu	23.23.239.110
Davenport University (MI)	www.davenport.edu	66.202.201.123
Davidson College (NC)	www.davidson.edu	152.42.96.33
Davis College (NY)	www.davisny.edu	192.185.184.42
Davis & Elkins College (WV)	www.dewv.edu	72.21.91.19
Daytona State College (FL)	www.daytonastate.edu	169.139.176.41
Dean College (MA)	www.dean.edu	54.209.36.148
Defiance College (OH)	www.defiance.edu	72.11.2.196
Delaware State University (DE)	www.desu.edu	23.21.54.137
Delaware Valley College (PA)	www.delval.edu	70.32.89.131
Delta State University (MS)	www.deltastate.edu	209.147.241.65
Denison University (OH)	denison.edu	23.253.67.168
Denver Seminary (CO)	www.denverseminary.edu	98.129.229.84
DePaul University (IL)	www.depaul.edu	216.220.178.116
DePauw University (IN)	www.depauw.edu	50.56.112.165
Des Moines University–Osteopathic Medical Center (IA)	www.dmu.edu	192.189.247.5
DeSales University (PA)	www.desales.edu	209.177.19.48
DeVry University (IL)	www.devry.edu	166.78.67.22
DeVry University–Addison (IL)	www.devry.edu	166.78.67.22
DeVry University–Arlington (VA)	www.devry.edu	166.78.67.22
DeVry University–Chicago (IL)	www.chi.devry.edu	206.209.110.192
DeVry University–Georgia (GA)	www.atl.devry.edu	206.209.110.192
DeVry University–Irving (TX)	www.dal.devry.edu	206.209.110.192
DeVry University–Kansas City (MO)	www.kc.devry.edu	206.209.110.192
DeVry University–Long Beach (CA)	www.lb.devry.edu	206.209.110.192
DeVry University–Orlando (FL)	www.orl.devry.edu	206.209.110.192
DeVry University–Phoenix (AZ)	www.phx.devry.edu	206.209.110.192
DeVry University–Pomona (CA)	www.pom.devry.edu	206.209.110.192
Dickinson College (PA)	www.dickinson.edu	64.9.56.13
Dickinson State University (ND)	www.dickinsonstate.edu	216.151.6.214
Dillard University (LA)	www.dillard.edu	184.154.162.122
Divine Word College (IA)	www.dwci.edu	216.152.133.54
Dixie State University (UT)	dixie.edu	144.38.25.107
Doane College (NE)	www.doane.edu	72.15.169.35
Dominican College (NY)	www.dc.edu	216.0.146.13
Dominican House of Studies (DC)	www.dhs.edu	198.185.159.136
Dominican School of Philosophy & Theology (CA)	www.dspt.edu	207.54.156.30
Dominican University (IL)	www.dom.edu	108.166.104.132
Dominican University of California (CA)	www.dominican.edu	70.36.170.189
Donnelly College (KS)	www.donnelly.edu	74.87.167.102
Dordt College (IA)	www.dordt.edu	198.97.44.72
Dowling College (NY)	www.dowling.edu	149.72.28.17
Drake University (IA)	www.drake.edu	192.84.11.242
Drew University (NJ)	www.drew.edu	192.107.39.6
Drexel University (PA)	www.drexel.edu	144.118.66.83
Drury University (MO)	www.drury.edu	64.22.249.117
Duke University (NC)	duke.edu	152.3.72.104
Dunwoody College of Technology (MN)	www.dunwoody.edu	64.132.94.43
Duquesne University (PA)	www.duq.edu	165.190.1.15
